Day,Month,Year,Country,Location/Atoll,Protection Status,Duration of protection,Site,any other metadata,Depth,Family,Species,FID,Fish size,IP/TP (parrots),Group size,Pre-flight behaviour,post-flight,Observer,Structure (CI - average of site),Fishers,pop,km reef,fishers/km,pop/km,fishers/kmmpa,pop/kmmpa
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.3,Acanthuridae,Ctenochaetus striatus,360,16,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.2,Acanthuridae,Ctenochaetus striatus,240,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.8,Acanthuridae,Ctenochaetus striatus,180,13,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.6,Acanthuridae,Ctenochaetus striatus,150,11,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.9,Acanthuridae,Ctenochaetus striatus,360,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.5,Acanthuridae,Ctenochaetus striatus,190,12,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.7,Acanthuridae,Ctenochaetus striatus,260,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Acanthuridae,Ctenochaetus striatus,180,13,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.2,Acanthuridae,Ctenochaetus striatus,200,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.9,Acanthuridae,Ctenochaetus striatus,220,14,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
5,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,425,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
6,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Acanthuridae,Ctenochaetus striatus,190,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
7,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6.5,Acanthuridae,Ctenochaetus striatus,350,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
8,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
9,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
10,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
11,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
12,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Acanthuridae,Ctenochaetus striatus,220,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
13,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Acanthuridae,Ctenochaetus striatus,240,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
14,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Acanthuridae,Ctenochaetus striatus,240,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
15,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Acanthuridae,Ctenochaetus striatus,250,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
16,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Acanthuridae,Ctenochaetus striatus,230,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
17,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Acanthuridae,Ctenochaetus striatus,210,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.5,Scaridae,Chlorurus bleekeri,400,19,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.5,Scaridae,Chlorurus bleekeri,460,17,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.5,Scaridae,Chlorurus bleekeri,450,13,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.3,Scaridae,Chlorurus bleekeri,600,17,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.3,Scaridae,Chlorurus bleekeri,640,21,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.3,Scaridae,Chlorurus bleekeri,360,14,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.1,Scaridae,Chlorurus bleekeri,460,16,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.1,Scaridae,Chlorurus bleekeri,350,13,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.5,Scaridae,Chlorurus bleekeri,400,15,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.6,Scaridae,Chlorurus bleekeri,520,24,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
28,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Scaridae,Chlorurus bleekeri,400,25,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
29,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.2,Scaridae,Chlorurus bleekeri,340,20,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
30,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.2,Scaridae,Chlorurus bleekeri,310,20,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
31,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.5,Scaridae,Chlorurus bleekeri,310,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Scaridae,Chlorurus bleekeri,230,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
2,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Scaridae,Chlorurus bleekeri,230,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
3,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.5,Scaridae,Chlorurus bleekeri,320,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1,Scaridae,Chlorurus bleekeri,230,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
5,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Scaridae,Chlorurus bleekeri,280,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
6,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Scaridae,Chlorurus bleekeri,280,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
7,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3,Scaridae,Chlorurus bleekeri,350,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
8,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3,Scaridae,Chlorurus bleekeri,350,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
9,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3,Scaridae,Chlorurus bleekeri,350,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
10,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Scaridae,Chlorurus bleekeri,250,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
11,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Chlorurus bleekeri,330,15,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
12,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Scaridae,Chlorurus bleekeri,280,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
13,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Scaridae,Chlorurus bleekeri,280,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
14,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Scaridae,Chlorurus bleekeri,280,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
15,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Scaridae,Chlorurus bleekeri,280,17,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.4,Scaridae,Chlorurus sordidus,280,12,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.9,Scaridae,Chlorurus sordidus,230,9,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.6,Scaridae,Chlorurus sordidus,260,11,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.8,Scaridae,Chlorurus sordidus,300,13,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.9,Scaridae,Chlorurus sordidus,700,23,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.4,Scaridae,Chlorurus sordidus,160,10,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.9,Scaridae,Chlorurus sordidus,480,21,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Scaridae,Chlorurus sordidus,460,18,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
3,7,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Scaridae,Chlorurus sordidus,260,13,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,7,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Scaridae,Chlorurus sordidus,230,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.8,Scaridae,Scarus dimidiatus,320,11,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.5,Scaridae,Scarus dimidiatus,280,13,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.7,Scaridae,Scarus dimidiatus,300,15,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.2,Scaridae,Scarus dimidiatus,220,9,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.6,Scaridae,Scarus dimidiatus,230,12,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.5,Scaridae,Scarus dimidiatus,400,11,IP,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
19,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,9,Scaridae,Scarus dimidiatus,380,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
20,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6.6,Scaridae,Scarus dimidiatus,230,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
21,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Scaridae,Scarus dimidiatus,270,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
22,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus dimidiatus,290,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
23,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus dimidiatus,260,10,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
24,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus dimidiatus,300,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
25,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus dimidiatus,300,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
26,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus dimidiatus,300,11,IP,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
27,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Scaridae,Scarus niger,160,11,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
28,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Scaridae,Scarus niger,250,12,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
29,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Scaridae,Scarus niger,250,12,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
30,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3,Scaridae,Scarus niger,350,17,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,7,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus niger,260,13,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
2,7,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Scaridae,Scarus niger,260,13,ADULT,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.5,Balistidae,Balistapus undulatus,330,10,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.1,Balistidae,Balistapus undulatus,500,14,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Balistidae,Balistapus undulatus,300,14,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.6,Balistidae,Balistapus undulatus,520,12,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.7,Balistidae,Balistapus undulatus,500,18,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
16,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7.5,Balistidae,Balistapus undulatus,230,10,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
17,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Balistidae,Balistapus undulatus,250,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
18,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Balistidae,Balistapus undulatus,200,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
19,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Balistidae,Balistapus undulatus,190,9,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
20,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Balistidae,Balistapus undulatus,350,15,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
21,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Balistidae,Balistapus undulatus,370,14,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
22,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Balistidae,Balistapus undulatus,350,14,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
23,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Balistidae,Balistapus undulatus,290,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
24,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2,Balistidae,Balistapus undulatus,200,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
25,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,9,Balistidae,Balistapus undulatus,260,7,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
26,6,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Balistidae,Balistapus undulatus,330,10,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,2.4,Labridae,Cheilinus fasciatus,420,14,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
27,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,9,Labridae,Cheilinus fasciatus,290,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
18,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Lutjanidae,Lutjanus gibbus,330,22,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,3.8,Balistidae,Balistapus undulatus,300,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.8,Balistidae,Balistapus undulatus,410,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.3,Balistidae,Balistapus undulatus,280,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.2,Balistidae,Balistapus undulatus,230,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,3.8,Balistidae,Balistapus undulatus,140,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.5,Balistidae,Balistapus undulatus,240,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.3,Balistidae,Balistapus undulatus,310,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.5,Balistidae,Balistapus undulatus,330,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.8,Balistidae,Balistapus undulatus,260,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.8,Balistidae,Balistapus undulatus,320,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,6.4,Balistidae,Balistapus undulatus,260,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,6.8,Balistidae,Balistapus undulatus,230,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,8.9,Balistidae,Balistapus undulatus,220,11,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.5,Balistidae,Balistapus undulatus,310,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.8,Balistidae,Balistapus undulatus,360,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,7.9,Balistidae,Balistapus undulatus,350,10,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,7.5,Balistidae,Balistapus undulatus,400,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,6.8,Balistidae,Balistapus undulatus,340,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.7,Balistidae,Balistapus undulatus,280,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,6.6,Balistidae,Balistapus undulatus,220,12,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,7,Balistidae,Balistapus undulatus,370,14,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,9.7,Balistidae,Balistapus undulatus,360,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,10.8,Balistidae,Balistapus undulatus,430,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.6,Balistidae,Balistapus undulatus,280,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.7,Balistidae,Balistapus undulatus,330,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.9,Balistidae,Balistapus undulatus,280,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.2,Balistidae,Balistapus undulatus,320,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.2,Balistidae,Balistapus undulatus,330,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,7.4,Balistidae,Balistapus undulatus,480,20,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.3,Balistidae,Balistapus undulatus,183,14,,,,,FH,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,6.7,Labridae,Cheilinus fasciatus,230,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4,Labridae,Cheilinus fasciatus,400,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,5.1,Labridae,Cheilinus fasciatus,340,15,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
1,5,2009,PNG,Ahus Island,Semi-protected,1,Ahus Tambu,,4.4,Labridae,Cheilinus fasciatus,370,17,,,,,DF,1.9,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
